ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"142.44.241.192","elite","AS16276","CA","OVH SAS","85","OVH Hosting, Inc.","7497","socks5","4398","1","2023-08-15T10:36:43.538Z","100","3371","3376"
"195.154.61.36","elite","AS12876","FR","Online SAS","3","N/A","57438","socks5","3089","1","2023-08-15T10:36:43.537Z","51","1713","3368"
"177.85.205.173","elite","AS52554","BR","S. A. da Silva Junior","192","S. A. da Silva Junior","3629","socks4","4699","1","2023-08-15T10:36:37.646Z","46","1568","3431"
"47.113.189.83","elite","AS37963","CN","Hangzhou Alibaba Advertising Co., Ltd.","225","Aliyun Computing Co., LTD","10012","socks4","3588","1","2023-08-15T10:36:37.644Z","70","2361","3363"
"51.79.248.215","elite","AS16276","SG","OVH SAS","162","OVH Singapore PTE. LTD","25693","socks4","4600","1","2023-08-15T10:36:37.739Z","100","3397","3397"
"154.66.108.19","elite","AS37642","LS","Comnet Pty Ltd","191","ISPClients","10081","socks4","3198","1","2023-08-15T10:36:37.648Z","97","3357","3445"
"93.43.193.230","elite","AS12874","IT","Fastweb SpA","82","Fastweb Internet NGA","8080","socks4","4387","1","2023-08-15T10:36:37.647Z","74","2537","3425"
"203.34.28.99","elite","AS209242","VG","Cloudflare London, LLC","12","Anaga Consulting Limited","80","socks4","1802","1","2023-08-15T10:36:37.649Z","100","3355","3357"
"159.223.173.185","elite","AS14061","US","DigitalOcean, LLC","83","DigitalOcean, LLC","58154","socks5","3184","1","2023-08-15T10:36:37.749Z","83","2765","3327"
"157.245.59.71","elite","AS14061","SG","DigitalOcean, LLC","195","DigitalOcean, LLC","42765","socks4","1414","82","2023-08-15T10:36:37.734Z","100","3405","3406"
"203.34.28.148","elite","AS209242","VG","Cloudflare London, LLC","11","Anaga Consulting Limited","80","socks4","4991","1","2023-08-15T10:36:37.651Z","100","3326","3326"
"85.37.200.4","elite","AS3269","IT","Telecom Italia S.p.A.","23","Kayser Italia SRL","5678","socks5","2301","1","2023-08-15T10:36:37.736Z","99","3317","3341"
"38.127.173.150","elite","AS174","US","Cogent Communications","84","Torlandia Trading SRL","11537","socks4","4399","1","2023-08-15T10:36:35.012Z","100","3376","3385"
"213.136.82.183","elite","AS51167","DE","Contabo GmbH","16","Contabo GmbH","43052","socks5","4490","1","2023-08-15T10:36:34.999Z","86","2933","3414"
"1.20.137.82","elite","AS23969","TH","TOT Public Company Limited","153","TOT Mobile Co LTD","32241","socks4","4889","84","2023-08-15T10:36:34.912Z","100","3410","3421"
"111.67.197.147","elite","AS4808","CN","China Unicom Beijing Province Network","295","Beijing yiantianxia Network Science&Technology Co Ltd.","6666","socks5","4699","1","2023-08-15T10:36:34.911Z","73","2516","3427"
"110.77.184.98","elite","AS131090","TH","CAT-BB","187","N/A","4145","socks4","4402","81","2023-08-15T10:36:34.912Z","90","3068","3395"
"41.206.58.150","elite","AS15808","KE","AccessKenya Group","282","Emmes Transport Limited","5678","socks4","5006","1","2023-08-15T10:36:31.643Z","95","3153","3319"
"43.153.170.206","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","297","Tencent Cloud Computing","13220","socks4","1684","1","2023-08-15T10:36:31.644Z","95","3236","3392"
"202.131.248.107","elite","AS9484","MN","Mobinet LLC","194","Monitoring","1080","socks4","4309","1","2023-08-15T10:36:31.638Z","61","2085","3420"
"159.192.145.153","elite","AS131090","TH","CAT-BB","300","N/A","5678","socks4","4385","1","2023-08-15T10:36:31.648Z","36","1208","3375"
"43.157.50.24","elite","AS132203","DE","Shenzhen Tencent Computer Systems Company Limited","11","Tencent Cloud Computing","443","socks4","4312","1","2023-08-15T10:36:31.743Z","62","2100","3383"
"103.209.230.193","elite","AS135115","BD","WIMS1","190","N/A","4153","socks4","5099","1","2023-08-15T10:36:31.640Z","99","3356","3384"
"119.91.214.119","elite","AS45090","CN","China Internet Network Information Center","296","Tencent cloud computing (Beijing) Co., Ltd.","3389","socks5","2602","1","2023-08-15T10:36:31.647Z","79","2655","3367"
"177.80.38.207","elite","AS28573","BR","Claro NXT Telecomunicacoes Ltda","294","Claro NXT Telecomunicacoes Ltda","4153","socks4","4702","1","2023-08-15T10:36:26.435Z","48","1634","3411"
"138.219.50.170","elite","AS263933","BR","Sistem Telecom","295","Sistem Telecom","4145","socks4","4795","1","2023-08-15T10:36:26.438Z","99","3389","3427"
"195.201.19.84","elite","AS24940","DE","Hetzner Online GmbH","15","Hetzner","443","socks4","2107","1","2023-08-15T10:36:26.350Z","99","3270","3293"
"206.72.206.45","elite","AS19318","US","Interserver, Inc","76","Interserver, Inc","1080","socks5","4689","1","2023-08-15T10:36:26.454Z","97","3262","3378"
"106.75.171.132","elite","AS136958","CN","UCLOUD","214","Shanghai UCloud Information Technology Company Limited","3000","socks5","4700","1","2023-08-15T10:36:26.442Z","76","2596","3430"
"43.225.163.209","elite","AS133001","IN","Airnet Cable And Datacom Pvt Ltd","194","AIRNETNETWORKS","4153","socks4","141","1","2023-08-15T10:36:21.512Z","99","3393","3436"
"187.115.160.253","elite","AS18881","BR","TELEFÔNICA BRASIL S.A","190","Global Village Telecom","3629","socks4","4498","1","2023-08-15T10:36:21.500Z","49","1664","3417"
